sentence,translated,fuel,machine,others,part,price,service
Saya memakai Honda Jazz GK5 tahun 2014 ( pertama meluncur ) . Mobil nya bagus dan enak sesuai moto nya menyenangkan untuk dikendarai,aku nganggo honda jazz gk5 taun 2014 ( kapisan meluncur ) . mobile apik lan sekeca jumbuh motone nyenengake kanggo dikendarai,neutral,neutral,positive,neutral,neutral,neutral
Avanza kenapa jadi boros bensin begini dah ah. Baru diisi sudah mau setengah saja .,avanza geneya dadi boros bensin mengkene wis ah. anyar diisi wis arep setengah wae .,negative,neutral,neutral,neutral,neutral,neutral
"saran ku dan pengalaman ku , mending beli mobil niaga L300 atau canter . irit dan bandel .","saran ku lan pengalaman ku , mending tuku mobil niaga l300 utawa canter . irit lan bandel .",positive,positive,neutral,neutral,neutral,neutral
Dari segi harga juga pajero lebih mahal 30 jutaan dibanding fortuner,saka segi rega uga pajero luwih larang 30 jutaan dibandhingake fortuner,neutral,neutral,neutral,neutral,positive,neutral
Kalo menurut gw enak pajero si,yen manut gw sekeca pajero si,neutral,neutral,positive,neutral,neutral,neutral
CH - R versi negara ini kurang worth it soal fitur dan kelengkapan,ch -r versi nagara iki kurang worth it soal fitur lan kelengkapan,neutral,neutral,neutral,negative,neutral,neutral
"@LinaRadj kapan-kapan coba bengkel daihatsu , mereka mau kok . Servis lebih bagus .","@linaradj kapan-kapan jajal bengkel daihatsu , dheweke kabeh arep kok . servis luwih apik .",neutral,neutral,neutral,neutral,neutral,positive
Mending confero harga nya lebih murah daripada formo.,mending confero regane luwih murah daripada formo.,neutral,neutral,neutral,neutral,negative,neutral
kalo soal servis mending pilih grand livina soalnya after sales service nya mudah dan cepat,yen soal servis mending pilih grand livina soale after sales servicene gampang lan cepet,neutral,neutral,neutral,neutral,neutral,positive
Lampu utama depan Grand New Veloz juga mendapatkan perubahan desain dan terkesan lebih agresif dan sedikit menonjol,lampu utama ngarep grand new veloz uga ngolehake owah-owahan desain lan duwe kesan luwih agresif lan sathithik menonjol,neutral,neutral,neutral,positive,neutral,neutral
Motor beat aku yang menemani aku di saat ke mana saja dan yang penting bbm - nya ramah lingkungan dan ramah juga di kantong dan tarikan nya mantap banget .,montor beat aku kang ngancani aku ing wektu menyang endi wae lan kang wigati bbm -e grapyak lingkungan lan grapyak uga ing kantong lan tarikane mantep banget .,positive,positive,neutral,neutral,neutral,neutral
"Xenia tahun 2008 bolak-balik jakarta - bandung , aki tetap aman .","xenia taun 2008 bola-bali jakarta -bandung , aki tetep aman .",neutral,neutral,neutral,positive,neutral,neutral
#YamahaID Perawatan Motor Injeksi Yamaha Mudah dan Murah,#yamahaid pangopenan montor injeksi yamaha gampang lan murah,neutral,neutral,neutral,neutral,neutral,positive
Buat dalam kota xpander bagus karna model nya kalem dan kesan nya car city,gawe jroning kutha xpander apik karna modhele kalem lan kesane car city,neutral,neutral,neutral,positive,neutral,neutral
brio pajak nya murah karena ckd daripada ignis atau sirion yg cbu pajak nya agak mahal trus onderdil nya agak susah atau lama kalo mau klaim asuransi,brio pajege murah amarga ckd daripada ignis utawa sirion kang cbu pajege rada larang trus onderdile rada angel utawa suwe yen arep klaim asuransi,neutral,neutral,neutral,negative,negative,neutral
